"","uid","question","scenario","rating","recall","realrate","know","num_uid"
"66","566c9284d408ea000519c6d7",3,22,84,9,51,6,3
"67","566c9284d408ea000519c6d7",4,5,49,24,60,15,3
"68","566c9284d408ea000519c6d7",5,15,21,39,84,26,3
"69","566c9284d408ea000519c6d7",6,7,14,1,8,0,3
"70","566c9284d408ea000519c6d7",7,13,72,47,81,22,3
"71","566c9284d408ea000519c6d7",8,2,32,32,79,18,3
"72","566c9284d408ea000519c6d7",9,4,10,12,31,6,3
"73","566c9284d408ea000519c6d7",10,8,74,31,43,20,3
"74","566c9284d408ea000519c6d7",11,14,35,19,38,7,3
"75","566c9284d408ea000519c6d7",12,26,19,8,9,1,3
"76","566c9284d408ea000519c6d7",13,18,51,10,44,3,3
"77","566c9284d408ea000519c6d7",14,21,74,27,59,17,3
"78","566c9284d408ea000519c6d7",15,10,50,10,38,7,3
"79","566c9284d408ea000519c6d7",16,20,23,18,68,5,3
"80","566c9284d408ea000519c6d7",17,6,15,29,50,15,3
"81","566c9284d408ea000519c6d7",18,27,26,61,95,52,3
"82","566c9284d408ea000519c6d7",19,1,100,69,100,52,3
"83","566c9284d408ea000519c6d7",20,16,12,19,78,14,3
"84","566c9284d408ea000519c6d7",21,9,14,6,40,4,3
"85","566c9284d408ea000519c6d7",22,19,72,28,55,11,3
"86","566c9284d408ea000519c6d7",23,30,44,44,48,28,3
"87","566c9284d408ea000519c6d7",24,17,50,29,54,14,3
"88","566c9284d408ea000519c6d7",25,24,6,11,20,7,3
"89","566c9284d408ea000519c6d7",26,29,32,30,47,20,3
"90","566c9284d408ea000519c6d7",27,31,82,51,52,47,3
"91","566c9284d408ea000519c6d7",28,28,49,21,65,11,3
"92","566c9284d408ea000519c6d7",29,23,49,53,74,48,3
"93","566c9284d408ea000519c6d7",30,11,7,3,26,0,3
"94","5765c0fcf2e23200017ded5e",0,20,45,34,35,33,4
"95","5765c0fcf2e23200017ded5e",1,24,45,49,45,46,4
"96","5765c0fcf2e23200017ded5e",2,1,48,43,55,50,4
"97","5765c0fcf2e23200017ded5e",3,31,54,41,31,18,4
"98","5765c0fcf2e23200017ded5e",4,22,41,35,43,30,4
"99","5765c0fcf2e23200017ded5e",5,23,39,41,39,34,4
"100","5765c0fcf2e23200017ded5e",6,29,48,33,37,44,4
"101","5765c0fcf2e23200017ded5e",7,6,41,40,44,41,4
"102","5765c0fcf2e23200017ded5e",8,14,37,29,34,39,4
"103","5765c0fcf2e23200017ded5e",9,17,34,49,62,28,4
"104","5765c0fcf2e23200017ded5e",10,4,35,42,50,24,4
"105","5765c0fcf2e23200017ded5e",11,25,37,38,44,22,4
"106","5765c0fcf2e23200017ded5e",12,26,67,19,49,48,4
"107","5765c0fcf2e23200017ded5e",13,16,32,28,42,44,4
"108","5765c0fcf2e23200017ded5e",14,3,34,31,37,42,4
"109","5765c0fcf2e23200017ded5e",15,21,38,44,46,33,4
"110","5765c0fcf2e23200017ded5e",16,8,48,41,34,27,4
"111","5765c0fcf2e23200017ded5e",17,11,36,38,37,5,4
"112","5765c0fcf2e23200017ded5e",18,10,39,31,39,38,4
"113","5765c0fcf2e23200017ded5e",19,2,35,40,36,33,4
"114","5765c0fcf2e23200017ded5e",20,9,15,22,23,67,4
"115","5765c0fcf2e23200017ded5e",21,18,38,40,43,39,4
"116","5765c0fcf2e23200017ded5e",22,7,43,34,42,41,4
"117","5765c0fcf2e23200017ded5e",23,28,34,41,49,36,4
"118","5765c0fcf2e23200017ded5e",24,19,9,45,43,29,4
"119","5765c0fcf2e23200017ded5e",25,27,51,25,41,49,4
"120","5765c0fcf2e23200017ded5e",26,5,28,44,53,40,4
"121","5765c0fcf2e23200017ded5e",27,13,36,51,40,48,4
"122","5765c0fcf2e23200017ded5e",28,12,34,42,35,35,4
"123","5765c0fcf2e23200017ded5e",29,15,34,35,36,35,4
"124","5765c0fcf2e23200017ded5e",30,30,64,44,58,44,4
"125","57a9f41a16a091000112f1cf",0,26,62,77,47,60,5
"126","57a9f41a16a091000112f1cf",1,23,77,16,74,75,5
"127","57a9f41a16a091000112f1cf",2,28,58,22,81,57,5
"128","57a9f41a16a091000112f1cf",3,7,59,56,58,78,5
"129","57a9f41a16a091000112f1cf",4,27,61,73,60,32,5
"130","57a9f41a16a091000112f1cf",5,24,70,39,71,73,5
"131","57a9f41a16a091000112f1cf",6,1,70,72,74,54,5
"132","57a9f41a16a091000112f1cf",7,9,58,67,73,59,5
"133","57a9f41a16a091000112f1cf",8,16,67,58,61,55,5
"134","57a9f41a16a091000112f1cf",9,30,66,57,54,50,5
"135","57a9f41a16a091000112f1cf",10,31,87,86,88,93,5
"136","57a9f41a16a091000112f1cf",11,17,89,69,71,69,5
"137","57a9f41a16a091000112f1cf",12,25,71,67,58,63,5
"138","57a9f41a16a091000112f1cf",13,13,61,59,60,66,5
"139","57a9f41a16a091000112f1cf",14,19,69,73,80,59,5
"140","57a9f41a16a091000112f1cf",15,21,51,51,71,50,5
"141","57a9f41a16a091000112f1cf",16,12,72,50,68,57,5
"142","57a9f41a16a091000112f1cf",17,22,81,61,69,61,5
"143","57a9f41a16a091000112f1cf",18,5,58,72,68,43,5
"144","57a9f41a16a091000112f1cf",19,11,72,58,50,62,5
"145","57a9f41a16a091000112f1cf",20,6,58,60,67,47,5
"146","57a9f41a16a091000112f1cf",21,29,69,16,92,60,5
"147","57a9f41a16a091000112f1cf",22,15,71,22,68,66,5
"148","57a9f41a16a091000112f1cf",23,2,72,54,63,46,5
"149","57a9f41a16a091000112f1cf",24,20,65,36,69,65,5
"150","57a9f41a16a091000112f1cf",25,3,66,32,62,52,5
"151","57a9f41a16a091000112f1cf",26,10,82,30,71,62,5
"152","57a9f41a16a091000112f1cf",27,8,71,22,72,65,5
"153","57a9f41a16a091000112f1cf",28,4,72,33,70,56,5
"154","57a9f41a16a091000112f1cf",29,18,61,32,66,56,5
"155","57a9f41a16a091000112f1cf",30,14,62,61,36,24,5
"187","5a286558564bdf00016463fc",0,15,10,15,88,49,6
"188","5a286558564bdf00016463fc",1,17,67,44,87,46,6
"189","5a286558564bdf00016463fc",2,9,11,22,85,39,6
"190","5a286558564bdf00016463fc",3,20,21,46,91,49,6
"191","5a286558564bdf00016463fc",4,5,37,51,85,46,6
"192","5a286558564bdf00016463fc",5,23,23,16,83,33,6
"193","5a286558564bdf00016463fc",6,31,52,64,89,46,6
"194","5a286558564bdf00016463fc",7,18,10,16,82,39,6
"195","5a286558564bdf00016463fc",8,14,32,10,84,26,6
"196","5a286558564bdf00016463fc",9,30,52,72,85,44,6
"197","5a286558564bdf00016463fc",10,10,40,17,85,51,6
"198","5a286558564bdf00016463fc",11,19,72,15,86,42,6
"199","5a286558564bdf00016463fc",12,28,14,50,95,48,6
"200","5a286558564bdf00016463fc",13,6,72,69,98,49,6
"201","5a286558564bdf00016463fc",14,25,100,75,84,49,6
"202","5a286558564bdf00016463fc",15,11,84,18,88,51,6
"203","5a286558564bdf00016463fc",16,4,2,25,78,28,6
"204","5a286558564bdf00016463fc",17,1,99,84,100,52,6
"205","5a286558564bdf00016463fc",18,16,71,24,87,29,6
"206","5a286558564bdf00016463fc",19,8,65,12,81,20,6
"207","5a286558564bdf00016463fc",20,26,24,18,81,42,6
"208","5a286558564bdf00016463fc",21,3,66,27,93,49,6
"209","5a286558564bdf00016463fc",22,21,72,22,86,34,6
"210","5a286558564bdf00016463fc",23,12,68,27,90,49,6
"211","5a286558564bdf00016463fc",24,22,88,23,79,34,6
"212","5a286558564bdf00016463fc",25,13,98,50,88,48,6
"213","5a286558564bdf00016463fc",26,24,74,31,95,20,6
"214","5a286558564bdf00016463fc",27,27,53,64,94,50,6
"215","5a286558564bdf00016463fc",28,29,73,22,78,21,6
"216","5a286558564bdf00016463fc",29,2,40,80,89,56,6
"217","5a286558564bdf00016463fc",30,7,76,20,85,19,6
"218","5b21c4ab31d0080001b9f55e",0,14,74,21,53,14,7
"219","5b21c4ab31d0080001b9f55e",1,17,53,36,65,33,7
"220","5b21c4ab31d0080001b9f55e",2,28,22,28,34,22,7
"221","5b21c4ab31d0080001b9f55e",3,22,62,51,49,35,7
"222","5b21c4ab31d0080001b9f55e",4,11,33,26,44,29,7
"223","5b21c4ab31d0080001b9f55e",5,1,90,53,76,43,7
"224","5b21c4ab31d0080001b9f55e",6,24,36,37,42,39,7
"225","5b21c4ab31d0080001b9f55e",7,12,13,26,17,22,7
"226","5b21c4ab31d0080001b9f55e",8,27,80,49,71,45,7
"227","5b21c4ab31d0080001b9f55e",9,7,60,53,31,48,7
"228","5b21c4ab31d0080001b9f55e",10,4,17,20,21,17,7
"229","5b21c4ab31d0080001b9f55e",11,5,60,51,61,46,7
"230","5b21c4ab31d0080001b9f55e",12,16,11,6,37,26,7
"231","5b21c4ab31d0080001b9f55e",13,3,54,39,49,28,7
"232","5b21c4ab31d0080001b9f55e",14,8,26,15,26,10,7
"233","5b21c4ab31d0080001b9f55e",15,15,39,16,28,7,7
"234","5b21c4ab31d0080001b9f55e",16,19,21,15,28,22,7
"235","5b21c4ab31d0080001b9f55e",17,18,62,44,43,34,7
"236","5b21c4ab31d0080001b9f55e",18,30,60,50,48,51,7
"237","5b21c4ab31d0080001b9f55e",19,21,13,19,39,18,7
"238","5b21c4ab31d0080001b9f55e",20,9,34,30,54,43,7
"239","5b21c4ab31d0080001b9f55e",21,13,27,49,50,40,7
"240","5b21c4ab31d0080001b9f55e",22,26,45,46,48,55,7
"241","5b21c4ab31d0080001b9f55e",23,2,56,53,51,48,7
"242","5b21c4ab31d0080001b9f55e",24,20,65,42,53,47,7
"243","5b21c4ab31d0080001b9f55e",25,23,47,36,35,36,7
"244","5b21c4ab31d0080001b9f55e",26,31,40,49,49,32,7
"245","5b21c4ab31d0080001b9f55e",27,6,44,26,57,35,7
"246","5b21c4ab31d0080001b9f55e",28,29,45,52,51,41,7
"247","5b21c4ab31d0080001b9f55e",29,10,58,44,40,30,7
"248","5b21c4ab31d0080001b9f55e",30,25,70,40,49,47,7
"249","5b85698ddfd21300017c2ee0",0,3,50,3,71,43,8
"250","5b85698ddfd21300017c2ee0",1,25,71,28,81,29,8
"251","5b85698ddfd21300017c2ee0",2,15,51,18,63,24,8
"252","5b85698ddfd21300017c2ee0",3,13,82,13,67,30,8
"253","5b85698ddfd21300017c2ee0",4,27,41,26,69,12,8
"254","5b85698ddfd21300017c2ee0",5,19,34,10,67,7,8
"255","5b85698ddfd21300017c2ee0",6,12,67,10,60,10,8
"256","5b85698ddfd21300017c2ee0",7,26,31,6,19,12,8
"257","5b85698ddfd21300017c2ee0",8,7,32,5,29,9,8
"258","5b85698ddfd21300017c2ee0",9,31,25,9,50,12,8
"259","5b85698ddfd21300017c2ee0",10,14,54,15,38,12,8
"260","5b85698ddfd21300017c2ee0",11,21,44,20,52,12,8
"261","5b85698ddfd21300017c2ee0",12,23,51,13,56,13,8
"262","5b85698ddfd21300017c2ee0",13,4,22,17,41,16,8
"263","5b85698ddfd21300017c2ee0",14,30,35,17,53,15,8
"264","5b85698ddfd21300017c2ee0",15,18,52,7,55,13,8
"265","5b85698ddfd21300017c2ee0",16,8,65,11,57,11,8
"266","5b85698ddfd21300017c2ee0",17,24,58,12,58,14,8
"267","5b85698ddfd21300017c2ee0",18,17,63,7,31,10,8
"268","5b85698ddfd21300017c2ee0",19,11,35,12,61,11,8
"269","5b85698ddfd21300017c2ee0",20,16,59,7,32,5,8
"270","5b85698ddfd21300017c2ee0",21,20,83,7,60,11,8
"271","5b85698ddfd21300017c2ee0",22,9,63,15,58,12,8
"272","5b85698ddfd21300017c2ee0",23,6,47,5,56,10,8
"273","5b85698ddfd21300017c2ee0",24,5,23,7,14,10,8
"274","5b85698ddfd21300017c2ee0",25,28,52,9,29,5,8
"275","5b85698ddfd21300017c2ee0",26,29,45,7,30,7,8
"276","5b85698ddfd21300017c2ee0",27,22,70,11,26,7,8
"277","5b85698ddfd21300017c2ee0",28,1,90,40,83,31,8
"278","5b85698ddfd21300017c2ee0",29,2,47,4,24,7,8
"279","5b85698ddfd21300017c2ee0",30,10,75,11,51,5,8
"280","5b9b09660611410001065316",0,22,77,83,95,44,9
"281","5b9b09660611410001065316",1,2,57,80,92,50,9
"282","5b9b09660611410001065316",2,5,94,88,90,44,9
"283","5b9b09660611410001065316",3,24,92,90,92,47,9
"284","5b9b09660611410001065316",4,23,93,90,89,85,9
"285","5b9b09660611410001065316",5,9,80,73,91,51,9
"286","5b9b09660611410001065316",6,17,87,81,91,75,9
"287","5b9b09660611410001065316",7,8,85,90,82,81,9
"288","5b9b09660611410001065316",8,21,37,79,94,57,9
"289","5b9b09660611410001065316",9,27,28,87,97,70,9
"290","5b9b09660611410001065316",10,12,87,82,93,53,9
"291","5b9b09660611410001065316",11,13,35,30,94,75,9
"292","5b9b09660611410001065316",12,3,91,87,86,88,9
"293","5b9b09660611410001065316",13,30,89,87,45,89,9
"294","5b9b09660611410001065316",14,20,63,48,93,53,9
"295","5b9b09660611410001065316",15,14,44,80,94,50,9
"296","5b9b09660611410001065316",16,18,26,78,94,49,9
"297","5b9b09660611410001065316",17,19,25,69,90,40,9
"298","5b9b09660611410001065316",18,28,85,80,92,69,9
"299","5b9b09660611410001065316",19,11,81,69,90,57,9
"300","5b9b09660611410001065316",20,31,94,69,91,58,9
"301","5b9b09660611410001065316",21,29,84,79,91,48,9
"302","5b9b09660611410001065316",22,7,94,50,94,47,9
"303","5b9b09660611410001065316",23,1,90,90,97,96,9
"304","5b9b09660611410001065316",24,10,92,90,88,48,9
"305","5b9b09660611410001065316",25,25,94,81,96,66,9
"306","5b9b09660611410001065316",26,6,43,84,91,64,9
"307","5b9b09660611410001065316",27,15,56,56,89,74,9
"308","5b9b09660611410001065316",28,4,86,81,87,50,9
"309","5b9b09660611410001065316",29,26,47,72,89,59,9
"310","5b9b09660611410001065316",30,16,95,59,91,48,9
"311","5b9be67d9ee36f00012f7a8f",0,22,18,71,87,46,10
"312","5b9be67d9ee36f00012f7a8f",1,11,96,2,97,2,10
"313","5b9be67d9ee36f00012f7a8f",2,15,48,11,100,19,10
"314","5b9be67d9ee36f00012f7a8f",3,21,78,16,98,14,10
"315","5b9be67d9ee36f00012f7a8f",4,13,98,99,99,87,10
"316","5b9be67d9ee36f00012f7a8f",5,9,98,84,98,81,10
"317","5b9be67d9ee36f00012f7a8f",6,28,57,78,98,69,10
"318","5b9be67d9ee36f00012f7a8f",7,24,17,79,97,58,10
"319","5b9be67d9ee36f00012f7a8f",8,10,33,63,99,48,10
"320","5b9be67d9ee36f00012f7a8f",9,14,72,55,92,39,10
"321","5b9be67d9ee36f00012f7a8f",10,30,19,76,88,58,10
"322","5b9be67d9ee36f00012f7a8f",11,16,38,71,97,46,10
"323","5b9be67d9ee36f00012f7a8f",12,25,47,74,98,48,10
"324","5b9be67d9ee36f00012f7a8f",13,19,88,67,96,51,10
"325","5b9be67d9ee36f00012f7a8f",14,1,100,99,97,63,10
"326","5b9be67d9ee36f00012f7a8f",15,2,98,69,99,57,10
"327","5b9be67d9ee36f00012f7a8f",16,23,86,99,99,61,10
"328","5b9be67d9ee36f00012f7a8f",17,7,65,98,97,53,10
"329","5b9be67d9ee36f00012f7a8f",18,8,48,65,95,46,10
"330","5b9be67d9ee36f00012f7a8f",19,27,100,98,97,54,10
"331","5b9be67d9ee36f00012f7a8f",20,20,25,67,97,58,10
"332","5b9be67d9ee36f00012f7a8f",21,6,64,48,53,48,10
"333","5b9be67d9ee36f00012f7a8f",22,26,67,60,63,44,10
"334","5b9be67d9ee36f00012f7a8f",23,29,59,67,86,52,10
"335","5b9be67d9ee36f00012f7a8f",24,12,62,49,98,41,10
"336","5b9be67d9ee36f00012f7a8f",25,5,26,43,65,37,10
"337","5b9be67d9ee36f00012f7a8f",26,18,66,56,99,46,10
"338","5b9be67d9ee36f00012f7a8f",27,17,56,75,86,61,10
"339","5b9be67d9ee36f00012f7a8f",28,31,78,98,99,64,10
"340","5b9be67d9ee36f00012f7a8f",29,3,21,59,85,34,10
"341","5b9be67d9ee36f00012f7a8f",30,4,35,43,79,36,10
"342","5bc0ac845a09ea00012e2d30",0,21,71,16,87,33,11
"343","5bc0ac845a09ea00012e2d30",1,22,75,46,95,41,11
"344","5bc0ac845a09ea00012e2d30",2,25,14,5,72,28,11
"345","5bc0ac845a09ea00012e2d30",3,30,81,63,92,44,11
"346","5bc0ac845a09ea00012e2d30",4,17,47,4,94,12,11
"347","5bc0ac845a09ea00012e2d30",5,14,60,6,91,31,11
"348","5bc0ac845a09ea00012e2d30",6,27,82,31,74,39,11
"349","5bc0ac845a09ea00012e2d30",7,6,94,60,98,66,11
"350","5bc0ac845a09ea00012e2d30",8,19,23,0,96,27,11
"351","5bc0ac845a09ea00012e2d30",9,4,20,0,83,11,11
"352","5bc0ac845a09ea00012e2d30",10,3,49,0,67,34,11
"353","5bc0ac845a09ea00012e2d30",11,12,8,2,73,18,11
"354","5bc0ac845a09ea00012e2d30",12,11,60,7,76,23,11
"355","5bc0ac845a09ea00012e2d30",13,31,97,68,96,51,11
"356","5bc0ac845a09ea00012e2d30",14,26,0,0,100,0,11
"357","5bc0ac845a09ea00012e2d30",15,9,100,1,100,23,11
"358","5bc0ac845a09ea00012e2d30",16,7,0,0,62,0,11
"359","5bc0ac845a09ea00012e2d30",17,13,68,16,89,33,11
"360","5bc0ac845a09ea00012e2d30",18,15,85,27,96,26,11
"361","5bc0ac845a09ea00012e2d30",19,29,2,5,91,15,11
"362","5bc0ac845a09ea00012e2d30",20,20,19,1,80,2,11
"363","5bc0ac845a09ea00012e2d30",21,16,0,0,56,48,11
"364","5bc0ac845a09ea00012e2d30",22,5,100,0,96,15,11
"365","5bc0ac845a09ea00012e2d30",23,24,66,3,82,11,11
"366","5bc0ac845a09ea00012e2d30",24,28,85,33,90,11,11
"367","5bc0ac845a09ea00012e2d30",25,23,15,22,80,24,11
"368","5bc0ac845a09ea00012e2d30",26,8,68,2,84,12,11
"369","5bc0ac845a09ea00012e2d30",27,10,64,0,68,2,11
"370","5bc0ac845a09ea00012e2d30",28,2,64,8,94,26,11
"371","5bc0ac845a09ea00012e2d30",29,18,18,24,81,18,11
"372","5bc0ac845a09ea00012e2d30",30,1,11,31,79,22,11
"373","5bddc463712eb800010d2e4d",0,23,34,15,48,10,12
"374","5bddc463712eb800010d2e4d",1,30,69,2,17,1,12
"375","5bddc463712eb800010d2e4d",2,9,41,2,24,1,12
"376","5bddc463712eb800010d2e4d",3,22,58,2,12,1,12
"377","5bddc463712eb800010d2e4d",4,14,64,1,43,0,12
"378","5bddc463712eb800010d2e4d",5,27,1,2,41,11,12
"379","5bddc463712eb800010d2e4d",6,15,26,1,19,1,12
"380","5bddc463712eb800010d2e4d",7,13,72,13,16,11,12
"381","5bddc463712eb800010d2e4d",8,18,69,5,11,2,12
"382","5bddc463712eb800010d2e4d",9,31,80,9,10,9,12
"383","5bddc463712eb800010d2e4d",10,17,71,9,8,9,12
"384","5bddc463712eb800010d2e4d",11,25,50,1,3,2,12
"385","5bddc463712eb800010d2e4d",12,11,89,0,1,1,12
"386","5bddc463712eb800010d2e4d",13,24,49,0,13,0,12
"387","5bddc463712eb800010d2e4d",14,6,80,5,6,6,12
"388","5bddc463712eb800010d2e4d",15,28,64,3,2,2,12
"389","5bddc463712eb800010d2e4d",16,8,65,5,4,4,12
"390","5bddc463712eb800010d2e4d",17,7,98,1,1,3,12
"391","5bddc463712eb800010d2e4d",18,16,15,4,3,3,12
"392","5bddc463712eb800010d2e4d",19,26,49,5,3,4,12
"393","5bddc463712eb800010d2e4d",20,5,81,0,1,2,12
"394","5bddc463712eb800010d2e4d",21,20,48,2,3,2,12
"395","5bddc463712eb800010d2e4d",22,3,88,3,2,3,12
"396","5bddc463712eb800010d2e4d",23,12,49,2,3,3,12
"397","5bddc463712eb800010d2e4d",24,2,89,1,15,2,12
"398","5bddc463712eb800010d2e4d",25,1,23,2,8,3,12
"399","5bddc463712eb800010d2e4d",26,10,81,5,3,6,12
"400","5bddc463712eb800010d2e4d",27,21,97,1,1,1,12
"401","5bddc463712eb800010d2e4d",28,29,43,6,10,7,12
"402","5bddc463712eb800010d2e4d",29,4,20,6,5,7,12
"403","5bddc463712eb800010d2e4d",30,19,96,9,8,8,12
"404","5c0977dcb88850000117f59d",0,5,74,6,68,14,13
"405","5c0977dcb88850000117f59d",1,26,98,38,80,65,13
"406","5c0977dcb88850000117f59d",2,21,50,58,77,21,13
"407","5c0977dcb88850000117f59d",3,18,22,84,100,59,13
"408","5c0977dcb88850000117f59d",4,31,52,94,98,86,13
"409","5c0977dcb88850000117f59d",5,28,51,20,27,3,13
"410","5c0977dcb88850000117f59d",6,3,95,47,78,23,13
"411","5c0977dcb88850000117f59d",7,2,29,70,58,61,13
"412","5c0977dcb88850000117f59d",8,8,78,73,77,61,13
"413","5c0977dcb88850000117f59d",9,23,44,71,74,55,13
"414","5c0977dcb88850000117f59d",10,27,96,89,94,97,13
"415","5c0977dcb88850000117f59d",11,20,30,62,45,29,13
"416","5c0977dcb88850000117f59d",12,24,10,38,24,11,13
"417","5c0977dcb88850000117f59d",13,15,36,73,46,62,13
"418","5c0977dcb88850000117f59d",14,12,71,72,55,68,13
"419","5c0977dcb88850000117f59d",15,13,98,95,96,94,13
"420","5c0977dcb88850000117f59d",16,19,95,89,78,85,13
"421","5c0977dcb88850000117f59d",17,17,45,40,49,37,13
"422","5c0977dcb88850000117f59d",18,7,47,37,60,60,13
"423","5c0977dcb88850000117f59d",19,1,59,71,83,86,13
"424","5c0977dcb88850000117f59d",20,9,53,67,75,71,13
"425","5c0977dcb88850000117f59d",21,10,39,47,47,49,13
"426","5c0977dcb88850000117f59d",22,16,20,16,71,6,13
"427","5c0977dcb88850000117f59d",23,22,42,55,79,28,13
"428","5c0977dcb88850000117f59d",24,4,38,17,26,24,13
"429","5c0977dcb88850000117f59d",25,6,38,22,59,68,13
"430","5c0977dcb88850000117f59d",26,29,56,67,87,57,13
"431","5c0977dcb88850000117f59d",27,25,31,29,53,87,13
"432","5c0977dcb88850000117f59d",28,14,37,53,39,24,13
"433","5c0977dcb88850000117f59d",29,30,93,82,79,61,13
"434","5c0977dcb88850000117f59d",30,11,49,37,81,51,13
"435","5cb4ba4be73904000194a733",0,23,9,1,79,66,14
"436","5cb4ba4be73904000194a733",1,7,67,52,85,73,14
"437","5cb4ba4be73904000194a733",2,15,89,76,86,73,14
"438","5cb4ba4be73904000194a733",3,29,98,85,98,92,14
"439","5cb4ba4be73904000194a733",4,14,98,85,87,69,14
"440","5cb4ba4be73904000194a733",5,9,86,81,87,72,14
"441","5cb4ba4be73904000194a733",6,1,98,95,97,92,14
"442","5cb4ba4be73904000194a733",7,27,72,93,96,75,14
"443","5cb4ba4be73904000194a733",8,21,44,85,91,72,14
"444","5cb4ba4be73904000194a733",9,4,16,17,61,59,14
"445","5cb4ba4be73904000194a733",10,10,93,42,81,54,14
"446","5cb4ba4be73904000194a733",11,2,98,23,96,59,14
"447","5cb4ba4be73904000194a733",12,3,39,25,83,26,14
"448","5cb4ba4be73904000194a733",13,30,81,28,97,22,14
"449","5cb4ba4be73904000194a733",14,31,100,70,80,73,14
"450","5cb4ba4be73904000194a733",15,26,59,70,84,43,14
"451","5cb4ba4be73904000194a733",16,12,5,11,85,48,14
