subject,scenario,trial_number,physical,document,witness,character
614f8d1b24092468e309e7ba,7,2,ambiguous,clear_in,clear_in,none
614f8d1b24092468e309e7ba,8,3,clear_in,clear_in,none,clear_in
614f8d1b24092468e309e7ba,6,4,clear_in,clear_ex,ambiguous,clear_in
614f8d1b24092468e309e7ba,20,5,none,clear_in,ambiguous,none
614f8d1b24092468e309e7ba,29,6,ambiguous,clear_in,clear_in,clear_ex
614f8d1b24092468e309e7ba,14,7,clear_in,clear_ex,clear_ex,clear_in
614f8d1b24092468e309e7ba,25,8,ambiguous,ambiguous,clear_in,none
614f8d1b24092468e309e7ba,13,9,ambiguous,clear_in,none,none
614f8d1b24092468e309e7ba,22,10,clear_in,none,clear_in,clear_ex
614f8d1b24092468e309e7ba,12,11,clear_ex,clear_in,clear_in,clear_in
614f8d1b24092468e309e7ba,2,12,clear_in,ambiguous,clear_in,clear_ex
614f8d1b24092468e309e7ba,21,13,none,clear_in,clear_ex,none
614f8d1b24092468e309e7ba,9,14,clear_in,none,clear_ex,clear_in
614f8d1b24092468e309e7ba,26,15,none,clear_in,none,none
614f8d1b24092468e309e7ba,3,16,none,clear_in,clear_in,clear_ex
614f8d1b24092468e309e7ba,10,17,none,clear_in,ambiguous,clear_in
614f8d1b24092468e309e7ba,16,18,clear_ex,clear_in,clear_ex,clear_in
614f8d1b24092468e309e7ba,15,19,clear_ex,clear_in,ambiguous,clear_ex
614f8d1b24092468e309e7ba,24,20,none,clear_in,clear_ex,clear_in
614f8d1b24092468e309e7ba,5,21,clear_in,clear_in,clear_ex,clear_ex
614f8d1b24092468e309e7ba,27,22,clear_in,clear_in,none,none
614f8d1b24092468e309e7ba,18,23,clear_in,clear_ex,clear_in,clear_in
614f8d1b24092468e309e7ba,19,24,clear_in,clear_in,clear_ex,clear_in
614f8d1b24092468e309e7ba,30,25,clear_ex,clear_in,none,clear_in
614f8d1b24092468e309e7ba,1,26,clear_in,none,clear_ex,none
614f8d1b24092468e309e7ba,11,27,none,none,clear_in,clear_in
614f8d1b24092468e309e7ba,28,28,clear_in,ambiguous,ambiguous,clear_ex
614f8d1b24092468e309e7ba,23,29,clear_ex,clear_in,clear_in,clear_ex
614f8d1b24092468e309e7ba,4,30,none,ambiguous,clear_in,none
5c0977dcb88850000117f59d,5,0,ambiguous,clear_in,clear_in,none
5c0977dcb88850000117f59d,26,1,ambiguous,ambiguous,clear_in,clear_in
5c0977dcb88850000117f59d,21,2,clear_ex,clear_in,clear_in,clear_in
5c0977dcb88850000117f59d,18,3,clear_in,clear_ex,clear_ex,clear_in
5c0977dcb88850000117f59d,31,4,clear_in,clear_in,ambiguous,clear_ex
5c0977dcb88850000117f59d,28,5,clear_in,clear_ex,ambiguous,clear_ex
5c0977dcb88850000117f59d,3,6,none,clear_in,ambiguous,clear_in
5c0977dcb88850000117f59d,2,7,clear_ex,ambiguous,clear_in,none
5c0977dcb88850000117f59d,8,8,clear_in,clear_ex,clear_in,clear_ex
5c0977dcb88850000117f59d,23,9,clear_ex,clear_ex,clear_in,clear_in
5c0977dcb88850000117f59d,27,10,clear_in,clear_in,clear_ex,clear_in
5c0977dcb88850000117f59d,20,11,clear_ex,clear_in,none,none
5c0977dcb88850000117f59d,24,12,clear_in,clear_ex,ambiguous,none
5c0977dcb88850000117f59d,15,13,clear_in,none,none,none
5c0977dcb88850000117f59d,12,14,clear_in,clear_in,ambiguous,none
5c0977dcb88850000117f59d,13,15,clear_in,clear_in,clear_in,none
5c0977dcb88850000117f59d,19,16,clear_in,ambiguous,none,none
5c0977dcb88850000117f59d,17,17,clear_in,clear_ex,none,none
5c0977dcb88850000117f59d,7,18,clear_in,none,clear_ex,clear_in
5c0977dcb88850000117f59d,1,19,clear_in,none,ambiguous,none
5c0977dcb88850000117f59d,9,20,none,ambiguous,clear_in,clear_in
5c0977dcb88850000117f59d,10,21,clear_ex,none,clear_in,none
5c0977dcb88850000117f59d,16,22,clear_in,ambiguous,clear_ex,clear_ex
5c0977dcb88850000117f59d,22,23,ambiguous,clear_in,clear_ex,clear_ex
5c0977dcb88850000117f59d,4,24,clear_in,none,none,clear_in
5c0977dcb88850000117f59d,6,25,clear_ex,clear_in,none,clear_in
5c0977dcb88850000117f59d,29,26,clear_in,ambiguous,clear_in,clear_ex
5c0977dcb88850000117f59d,25,27,clear_in,none,none,clear_ex
5c0977dcb88850000117f59d,14,28,clear_in,none,clear_ex,none
5c0977dcb88850000117f59d,30,29,clear_in,clear_in,clear_in,clear_in
5c0977dcb88850000117f59d,11,30,ambiguous,clear_in,ambiguous,none
63052f20afc39e87110eb83e,29,0,none,clear_in,clear_in,clear_in
63052f20afc39e87110eb83e,17,1,clear_in,clear_in,ambiguous,none
63052f20afc39e87110eb83e,30,2,clear_in,clear_ex,clear_in,clear_ex
63052f20afc39e87110eb83e,24,3,ambiguous,ambiguous,clear_in,clear_ex
63052f20afc39e87110eb83e,22,4,ambiguous,clear_in,none,clear_in
63052f20afc39e87110eb83e,19,5,clear_in,clear_ex,clear_in,clear_in
63052f20afc39e87110eb83e,31,6,clear_in,none,ambiguous,clear_ex
63052f20afc39e87110eb83e,4,7,ambiguous,none,clear_in,clear_ex
63052f20afc39e87110eb83e,9,8,clear_in,none,clear_in,none
63052f20afc39e87110eb83e,1,9,clear_in,clear_in,clear_in,clear_in
63052f20afc39e87110eb83e,18,10,clear_ex,clear_ex,clear_in,clear_in
63052f20afc39e87110eb83e,10,11,ambiguous,clear_in,clear_ex,clear_in
63052f20afc39e87110eb83e,15,12,ambiguous,clear_in,ambiguous,clear_ex
63052f20afc39e87110eb83e,13,13,ambiguous,clear_in,clear_ex,none
63052f20afc39e87110eb83e,21,14,clear_ex,clear_in,ambiguous,clear_ex
63052f20afc39e87110eb83e,16,15,clear_in,none,none,clear_ex
63052f20afc39e87110eb83e,12,16,clear_in,ambiguous,none,none
63052f20afc39e87110eb83e,25,17,clear_in,none,clear_in,clear_ex
63052f20afc39e87110eb83e,6,18,none,clear_ex,clear_in,clear_in
63052f20afc39e87110eb83e,20,19,none,clear_in,clear_in,none
63052f20afc39e87110eb83e,28,20,clear_ex,clear_in,ambiguous,clear_in
63052f20afc39e87110eb83e,8,21,clear_in,none,none,none
63052f20afc39e87110eb83e,2,22,ambiguous,clear_in,clear_in,clear_in
63052f20afc39e87110eb83e,5,23,none,clear_in,clear_in,clear_ex
63052f20afc39e87110eb83e,11,24,clear_in,clear_in,clear_ex,clear_ex
63052f20afc39e87110eb83e,3,25,clear_ex,clear_in,clear_in,none
63052f20afc39e87110eb83e,26,26,clear_ex,clear_in,clear_in,clear_ex
63052f20afc39e87110eb83e,23,27,clear_in,clear_ex,ambiguous,clear_in
63052f20afc39e87110eb83e,7,28,clear_in,ambiguous,ambiguous,none
63052f20afc39e87110eb83e,14,29,clear_in,clear_in,ambiguous,clear_ex
63052f20afc39e87110eb83e,27,30,clear_in,ambiguous,none,clear_in
6150a73a1ceb25b4c866c4ee,28,0,clear_in,none,ambiguous,clear_in
6150a73a1ceb25b4c866c4ee,7,1,clear_in,none,none,clear_in
6150a73a1ceb25b4c866c4ee,12,2,ambiguous,ambiguous,clear_in,none
6150a73a1ceb25b4c866c4ee,4,3,none,clear_ex,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,10,4,clear_in,clear_in,none,none
6150a73a1ceb25b4c866c4ee,18,5,clear_in,clear_ex,ambiguous,none
6150a73a1ceb25b4c866c4ee,11,6,ambiguous,clear_ex,clear_in,clear_ex
6150a73a1ceb25b4c866c4ee,6,7,ambiguous,none,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,16,8,clear_in,clear_in,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,20,9,clear_ex,clear_in,none,none
6150a73a1ceb25b4c866c4ee,22,10,clear_in,none,none,none
6150a73a1ceb25b4c866c4ee,8,11,clear_in,clear_ex,clear_in,clear_ex
6150a73a1ceb25b4c866c4ee,17,12,clear_in,ambiguous,clear_in,none
6150a73a1ceb25b4c866c4ee,30,13,clear_ex,clear_ex,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,5,14,clear_in,clear_ex,ambiguous,clear_in
6150a73a1ceb25b4c866c4ee,13,15,ambiguous,clear_in,none,clear_ex
6150a73a1ceb25b4c866c4ee,29,16,none,clear_in,none,none
6150a73a1ceb25b4c866c4ee,2,17,clear_ex,ambiguous,clear_in,clear_ex
6150a73a1ceb25b4c866c4ee,9,18,clear_ex,clear_in,ambiguous,none
6150a73a1ceb25b4c866c4ee,14,19,none,none,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,25,20,clear_ex,clear_in,ambiguous,clear_in
6150a73a1ceb25b4c866c4ee,1,21,clear_in,none,none,clear_ex
6150a73a1ceb25b4c866c4ee,23,22,clear_in,clear_in,ambiguous,clear_in
6150a73a1ceb25b4c866c4ee,19,23,none,ambiguous,clear_in,none
6150a73a1ceb25b4c866c4ee,21,24,ambiguous,clear_ex,clear_in,none
6150a73a1ceb25b4c866c4ee,31,25,clear_ex,clear_in,clear_in,clear_ex
6150a73a1ceb25b4c866c4ee,24,26,ambiguous,clear_in,none,clear_in
6150a73a1ceb25b4c866c4ee,27,27,clear_in,clear_ex,none,none
6150a73a1ceb25b4c866c4ee,3,28,clear_ex,clear_in,clear_in,clear_in
6150a73a1ceb25b4c866c4ee,26,29,clear_in,ambiguous,ambiguous,none
6150a73a1ceb25b4c866c4ee,15,30,clear_in,none,clear_ex,clear_in
64dd0d6827d312a7fe7e84bd,17,0,clear_ex,ambiguous,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,4,1,ambiguous,clear_in,ambiguous,clear_ex
64dd0d6827d312a7fe7e84bd,18,2,clear_in,none,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,31,3,clear_in,ambiguous,ambiguous,none
64dd0d6827d312a7fe7e84bd,25,4,clear_in,none,ambiguous,none
64dd0d6827d312a7fe7e84bd,12,5,clear_ex,clear_in,none,none
64dd0d6827d312a7fe7e84bd,1,6,clear_ex,clear_in,ambiguous,none
64dd0d6827d312a7fe7e84bd,16,7,ambiguous,none,clear_in,clear_ex
64dd0d6827d312a7fe7e84bd,2,8,clear_in,clear_in,clear_ex,none
64dd0d6827d312a7fe7e84bd,7,9,clear_in,ambiguous,none,clear_in
64dd0d6827d312a7fe7e84bd,3,10,none,ambiguous,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,10,11,clear_ex,none,clear_in,none
64dd0d6827d312a7fe7e84bd,27,12,ambiguous,clear_ex,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,15,13,clear_ex,clear_in,ambiguous,clear_ex
64dd0d6827d312a7fe7e84bd,30,14,clear_ex,clear_ex,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,26,15,clear_in,none,none,clear_ex
64dd0d6827d312a7fe7e84bd,19,16,none,clear_in,none,clear_ex
64dd0d6827d312a7fe7e84bd,20,17,none,clear_in,clear_ex,none
64dd0d6827d312a7fe7e84bd,8,18,clear_in,none,clear_ex,clear_in
64dd0d6827d312a7fe7e84bd,22,19,none,clear_in,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,5,20,clear_in,ambiguous,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,28,21,clear_ex,none,clear_in,clear_in
64dd0d6827d312a7fe7e84bd,23,22,clear_in,ambiguous,ambiguous,clear_in
64dd0d6827d312a7fe7e84bd,11,23,clear_in,ambiguous,clear_ex,clear_ex
64dd0d6827d312a7fe7e84bd,9,24,none,clear_in,clear_in,none
64dd0d6827d312a7fe7e84bd,21,25,clear_in,ambiguous,none,none
64dd0d6827d312a7fe7e84bd,29,26,ambiguous,clear_in,none,none
64dd0d6827d312a7fe7e84bd,13,27,ambiguous,none,clear_in,none
64dd0d6827d312a7fe7e84bd,24,28,ambiguous,clear_in,ambiguous,clear_in
64dd0d6827d312a7fe7e84bd,6,29,clear_in,ambiguous,ambiguous,clear_ex
64dd0d6827d312a7fe7e84bd,14,30,ambiguous,clear_ex,clear_in,clear_ex
60b38213928fdb2d6d9d8c9c,5,0,clear_in,ambiguous,none,clear_ex
60b38213928fdb2d6d9d8c9c,9,1,none,clear_in,clear_ex,none
60b38213928fdb2d6d9d8c9c,8,2,none,clear_in,clear_ex,clear_in
60b38213928fdb2d6d9d8c9c,16,3,ambiguous,clear_in,clear_ex,clear_ex
60b38213928fdb2d6d9d8c9c,17,4,clear_ex,none,clear_in,none
60b38213928fdb2d6d9d8c9c,1,5,clear_ex,clear_in,none,none
60b38213928fdb2d6d9d8c9c,15,6,clear_in,none,ambiguous,none
60b38213928fdb2d6d9d8c9c,14,7,clear_in,none,ambiguous,clear_in
60b38213928fdb2d6d9d8c9c,30,8,ambiguous,clear_in,none,clear_ex
60b38213928fdb2d6d9d8c9c,11,9,clear_in,clear_ex,ambiguous,none
60b38213928fdb2d6d9d8c9c,12,10,clear_ex,ambiguous,clear_in,clear_ex
60b38213928fdb2d6d9d8c9c,28,11,clear_in,ambiguous,clear_in,clear_in
60b38213928fdb2d6d9d8c9c,22,12,ambiguous,ambiguous,clear_in,clear_in
60b38213928fdb2d6d9d8c9c,7,13,ambiguous,clear_ex,clear_in,none
60b38213928fdb2d6d9d8c9c,29,14,clear_ex,clear_in,none,clear_in
60b38213928fdb2d6d9d8c9c,24,15,none,clear_in,clear_in,clear_ex
60b38213928fdb2d6d9d8c9c,4,16,none,clear_in,none,clear_ex
60b38213928fdb2d6d9d8c9c,31,17,clear_in,none,none,clear_ex
60b38213928fdb2d6d9d8c9c,6,18,none,clear_in,ambiguous,clear_ex
60b38213928fdb2d6d9d8c9c,2,19,none,none,clear_in,none
60b38213928fdb2d6d9d8c9c,18,20,ambiguous,clear_in,none,none
60b38213928fdb2d6d9d8c9c,25,21,clear_ex,clear_in,clear_in,none
60b38213928fdb2d6d9d8c9c,19,22,clear_in,clear_in,ambiguous,none
60b38213928fdb2d6d9d8c9c,26,23,ambiguous,clear_in,clear_in,clear_in
60b38213928fdb2d6d9d8c9c,27,24,clear_in,none,none,clear_in
60b38213928fdb2d6d9d8c9c,21,25,clear_in,none,clear_in,none
60b38213928fdb2d6d9d8c9c,23,26,clear_in,none,clear_in,clear_ex
60b38213928fdb2d6d9d8c9c,10,27,clear_in,clear_ex,none,none
60b38213928fdb2d6d9d8c9c,20,28,clear_in,ambiguous,none,none
60b38213928fdb2d6d9d8c9c,13,29,clear_in,clear_ex,clear_ex,clear_in
60b38213928fdb2d6d9d8c9c,3,30,clear_in,clear_in,ambiguous,clear_in
5d61a66fc9465f000105cb8e,12,0,ambiguous,clear_ex,clear_in,none
5d61a66fc9465f000105cb8e,21,1,clear_in,clear_in,clear_ex,clear_ex
5d61a66fc9465f000105cb8e,5,2,none,ambiguous,clear_in,clear_in
5d61a66fc9465f000105cb8e,4,3,ambiguous,none,clear_in,clear_ex
5d61a66fc9465f000105cb8e,13,4,clear_in,clear_ex,ambiguous,clear_ex
5d61a66fc9465f000105cb8e,8,5,ambiguous,clear_in,none,none
5d61a66fc9465f000105cb8e,17,6,clear_ex,clear_in,clear_in,clear_ex
5d61a66fc9465f000105cb8e,14,7,clear_ex,clear_in,none,clear_in
5d61a66fc9465f000105cb8e,27,8,ambiguous,none,clear_in,clear_in
5d61a66fc9465f000105cb8e,30,9,none,clear_in,none,none
5d61a66fc9465f000105cb8e,3,10,none,none,clear_in,none
5d61a66fc9465f000105cb8e,23,11,clear_in,clear_ex,none,clear_in
5d61a66fc9465f000105cb8e,16,12,clear_in,none,clear_in,none
5d61a66fc9465f000105cb8e,6,13,clear_in,ambiguous,clear_ex,none
5d61a66fc9465f000105cb8e,28,14,none,clear_in,ambiguous,none
5d61a66fc9465f000105cb8e,15,15,clear_in,none,clear_ex,clear_in
5d61a66fc9465f000105cb8e,22,16,ambiguous,ambiguous,clear_in,none
5d61a66fc9465f000105cb8e,18,17,clear_in,none,ambiguous,clear_in
5d61a66fc9465f000105cb8e,25,18,none,clear_in,ambiguous,clear_ex
5d61a66fc9465f000105cb8e,31,19,none,clear_ex,clear_in,clear_in
5d61a66fc9465f000105cb8e,24,20,clear_in,ambiguous,clear_ex,clear_ex
5d61a66fc9465f000105cb8e,9,21,clear_ex,clear_in,ambiguous,none
5d61a66fc9465f000105cb8e,20,22,ambiguous,clear_in,ambiguous,none
5d61a66fc9465f000105cb8e,2,23,clear_in,clear_ex,ambiguous,none
5d61a66fc9465f000105cb8e,11,24,ambiguous,clear_in,none,clear_in
5d61a66fc9465f000105cb8e,19,25,clear_in,ambiguous,none,clear_ex
5d61a66fc9465f000105cb8e,29,26,clear_in,clear_in,none,clear_in
5d61a66fc9465f000105cb8e,26,27,ambiguous,clear_in,ambiguous,clear_ex
5d61a66fc9465f000105cb8e,10,28,clear_ex,clear_in,ambiguous,clear_in
5d61a66fc9465f000105cb8e,7,29,clear_in,clear_ex,ambiguous,clear_in
5d61a66fc9465f000105cb8e,1,30,clear_in,ambiguous,clear_in,none
63d8a1cde53559645dfba881,19,0,none,none,clear_in,none
63d8a1cde53559645dfba881,25,1,clear_in,none,ambiguous,clear_ex
63d8a1cde53559645dfba881,23,2,clear_ex,clear_in,clear_in,clear_in
63d8a1cde53559645dfba881,8,3,clear_in,clear_ex,none,clear_in
63d8a1cde53559645dfba881,30,4,clear_in,clear_ex,ambiguous,none
63d8a1cde53559645dfba881,9,5,none,clear_in,clear_ex,clear_in
63d8a1cde53559645dfba881,14,6,ambiguous,clear_in,clear_in,clear_ex
63d8a1cde53559645dfba881,12,7,ambiguous,ambiguous,clear_in,none
63d8a1cde53559645dfba881,17,8,clear_in,none,clear_in,none
63d8a1cde53559645dfba881,7,9,ambiguous,clear_ex,clear_in,clear_in
63d8a1cde53559645dfba881,5,10,ambiguous,clear_in,none,none
63d8a1cde53559645dfba881,28,11,none,clear_ex,clear_in,clear_in
63d8a1cde53559645dfba881,3,12,clear_ex,clear_in,none,clear_in
63d8a1cde53559645dfba881,6,13,ambiguous,clear_in,clear_ex,none
63d8a1cde53559645dfba881,1,14,clear_ex,clear_in,none,none
63d8a1cde53559645dfba881,22,15,clear_ex,clear_in,ambiguous,clear_in
63d8a1cde53559645dfba881,27,16,clear_in,none,ambiguous,none
63d8a1cde53559645dfba881,4,17,clear_in,none,none,clear_ex
63d8a1cde53559645dfba881,21,18,clear_in,none,clear_ex,clear_in
63d8a1cde53559645dfba881,24,19,ambiguous,clear_in,clear_in,clear_in
63d8a1cde53559645dfba881,10,20,clear_ex,clear_in,clear_in,clear_ex
63d8a1cde53559645dfba881,18,21,clear_in,ambiguous,clear_in,clear_ex
63d8a1cde53559645dfba881,13,22,clear_in,ambiguous,clear_ex,clear_ex
63d8a1cde53559645dfba881,20,23,clear_in,ambiguous,ambiguous,clear_ex
63d8a1cde53559645dfba881,15,24,clear_in,ambiguous,clear_ex,clear_in
63d8a1cde53559645dfba881,11,25,clear_in,clear_in,ambiguous,none
63d8a1cde53559645dfba881,2,26,none,clear_in,ambiguous,clear_ex
63d8a1cde53559645dfba881,26,27,clear_in,clear_ex,clear_in,clear_in
63d8a1cde53559645dfba881,29,28,clear_in,clear_in,clear_in,none
63d8a1cde53559645dfba881,16,29,ambiguous,clear_ex,clear_in,none
63d8a1cde53559645dfba881,31,30,clear_in,ambiguous,none,clear_in
65038b836dccb51df37ad205,15,0,clear_in,clear_ex,none,none
65038b836dccb51df37ad205,14,1,none,clear_in,none,clear_ex
65038b836dccb51df37ad205,11,2,clear_in,clear_ex,clear_ex,clear_in
65038b836dccb51df37ad205,2,3,clear_in,none,clear_in,clear_ex
65038b836dccb51df37ad205,21,4,none,clear_in,none,clear_in
65038b836dccb51df37ad205,31,5,ambiguous,clear_in,clear_ex,none
65038b836dccb51df37ad205,26,6,none,clear_in,none,none
65038b836dccb51df37ad205,28,7,clear_ex,clear_in,clear_in,clear_ex
65038b836dccb51df37ad205,23,8,none,clear_in,clear_in,none
65038b836dccb51df37ad205,29,9,ambiguous,none,clear_in,clear_in
65038b836dccb51df37ad205,12,10,clear_in,ambiguous,none,clear_ex
65038b836dccb51df37ad205,9,11,clear_in,clear_in,clear_ex,clear_in
65038b836dccb51df37ad205,10,12,ambiguous,clear_in,none,none
65038b836dccb51df37ad205,1,13,ambiguous,ambiguous,clear_in,clear_in
65038b836dccb51df37ad205,19,14,clear_in,clear_in,clear_in,clear_ex
65038b836dccb51df37ad205,13,15,clear_in,clear_ex,clear_in,none
65038b836dccb51df37ad205,17,16,clear_in,clear_in,clear_ex,clear_ex
65038b836dccb51df37ad205,25,17,clear_in,ambiguous,clear_ex,clear_ex
65038b836dccb51df37ad205,30,18,clear_in,clear_in,none,none
65038b836dccb51df37ad205,4,19,clear_ex,ambiguous,clear_in,clear_in
65038b836dccb51df37ad205,16,20,clear_in,none,ambiguous,none
65038b836dccb51df37ad205,7,21,clear_in,clear_in,clear_in,none
65038b836dccb51df37ad205,20,22,clear_in,none,none,clear_ex
65038b836dccb51df37ad205,5,23,none,ambiguous,clear_in,clear_in
65038b836dccb51df37ad205,22,24,clear_in,none,ambiguous,clear_in
65038b836dccb51df37ad205,24,25,none,ambiguous,clear_in,none
65038b836dccb51df37ad205,6,26,clear_in,clear_ex,ambiguous,clear_in
65038b836dccb51df37ad205,3,27,none,clear_in,ambiguous,clear_ex
65038b836dccb51df37ad205,18,28,clear_ex,clear_ex,clear_in,clear_in
65038b836dccb51df37ad205,8,29,clear_ex,clear_in,none,clear_in
65038b836dccb51df37ad205,27,30,clear_in,none,clear_ex,none
627fddf569e6e6e6806b15f7,30,0,none,none,clear_in,clear_ex
627fddf569e6e6e6806b15f7,22,1,ambiguous,ambiguous,clear_in,none
627fddf569e6e6e6806b15f7,21,2,clear_in,clear_ex,ambiguous,none
627fddf569e6e6e6806b15f7,20,3,clear_in,ambiguous,ambiguous,clear_in
627fddf569e6e6e6806b15f7,3,4,ambiguous,ambiguous,clear_in,clear_in
627fddf569e6e6e6806b15f7,15,5,clear_ex,ambiguous,clear_in,clear_ex
627fddf569e6e6e6806b15f7,10,6,clear_ex,none,clear_in,clear_in
627fddf569e6e6e6806b15f7,17,7,clear_in,clear_ex,clear_ex,clear_in
627fddf569e6e6e6806b15f7,28,8,clear_in,ambiguous,none,clear_ex
627fddf569e6e6e6806b15f7,18,9,clear_in,ambiguous,clear_ex,clear_ex
627fddf569e6e6e6806b15f7,27,10,clear_ex,clear_ex,clear_in,clear_in
627fddf569e6e6e6806b15f7,2,11,none,ambiguous,clear_in,clear_ex
627fddf569e6e6e6806b15f7,6,12,clear_in,clear_ex,none,clear_in
627fddf569e6e6e6806b15f7,29,13,ambiguous,clear_in,clear_in,none
627fddf569e6e6e6806b15f7,23,14,clear_ex,clear_in,clear_in,clear_ex
627fddf569e6e6e6806b15f7,8,15,clear_in,none,ambiguous,clear_in
627fddf569e6e6e6806b15f7,12,16,ambiguous,clear_in,none,clear_in
